Segment,Description,Quantity
At-Risk Customers,MEDIUM CERAMIC TOP STORAGE JAR,74288
At-Risk Customers,WORLD WAR 2 GLIDERS ASSTD DESIGNS,5041
At-Risk Customers,SMALL POPCORN HOLDER,4741
At-Risk Customers,ASSORTED COLOURS SILK FAN,3392
At-Risk Customers,MINI PAINT SET VINTAGE ,2053
At-Risk Customers,WHITE HANGING HEART T-LIGHT HOLDER,1999
At-Risk Customers,RED  HARMONICA IN BOX ,1791
At-Risk Customers,PACK OF 72 RETROSPOT CAKE CASES,1766
At-Risk Customers,ROUND SNACK BOXES SET OF 4 FRUITS ,1616
At-Risk Customers,BROCADE RING PURSE ,1593
At-Risk Customers,SMALL CERAMIC TOP STORAGE JAR ,1529
At-Risk Customers,VICTORIAN GLASS HANGING T-LIGHT,1500
At-Risk Customers,ASSORTED COLOUR BIRD ORNAMENT,1426
At-Risk Customers,PACK OF 12 TRADITIONAL CRAYONS,1259
At-Risk Customers,PARTY BUNTING,1132
At-Risk Customers,HOMEMADE JAM SCENTED CANDLES,1119
At-Risk Customers,HEART OF WICKER SMALL,1102
At-Risk Customers,LARGE CIRCULAR MIRROR MOBILE,1099
At-Risk Customers,MULTI COLOUR SILVER T-LIGHT HOLDER,1099
At-Risk Customers,HANGING HEART JAR T-LIGHT HOLDER,1092
At-Risk Customers,COLOUR GLASS T-LIGHT HOLDER HANGING,1086
At-Risk Customers,60 TEATIME FAIRY CAKE CASES,1070
At-Risk Customers,RED RETROSPOT WRAP ,1035
At-Risk Customers,CHINESE DRAGON PAPER LANTERNS,1005
At-Risk Customers,JAM MAKING SET PRINTED,1002
At-Risk Customers,PAPER CHAIN KIT EMPIRE,959
At-Risk Customers,AGED GLASS SILVER T-LIGHT HOLDER,913
At-Risk Customers,JUMBO BAG RED RETROSPOT,909
At-Risk Customers,GIRLS ALPHABET IRON ON PATCHES ,864
At-Risk Customers,MAGIC DRAWING SLATE CIRCUS PARADE  ,832
At-Risk Customers,MINI JIGSAW SPACEBOY,832
At-Risk Customers,PACK OF 60 PINK PAISLEY CAKE CASES,817
At-Risk Customers,ASSORTED INCENSE PACK,792
