CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Country,TotalItems,UniqueProducts,TotalTransactions,AvgOrderValue
12346.0,326,1,3693.227500000001,2,At-Risk Customers,United Kingdom,74215,1,1,3693.227500000001
12347.0,2,7,3693.227500000001,1,High-Value Customers,Iceland,2458,103,7,527.6039285714287
12348.0,75,4,1797.24,0,Regular Customers,Finland,2341,22,4,449.31
12349.0,19,1,1757.55,0,Regular Customers,Italy,631,73,1,1757.55
12350.0,310,1,334.4,2,At-Risk Customers,Norway,197,17,1,334.4
12352.0,36,8,2506.04,1,High-Value Customers,Norway,536,59,8,313.255
12353.0,204,1,89.0,2,At-Risk Customers,Bahrain,20,4,1,89.0
12354.0,232,1,1079.4,2,At-Risk Customers,Spain,530,58,1,1079.4
12355.0,214,1,459.4,2,At-Risk Customers,Bahrain,240,13,1,459.4
12356.0,23,3,2811.43,1,High-Value Customers,Portugal,1591,53,3,937.1433333333333
12357.0,33,1,3693.227500000001,1,High-Value Customers,Switzerland,2708,131,1,3693.227500000001
12358.0,2,2,1168.06,0,Regular Customers,Austria,248,13,2,584.03
12359.0,58,4,3693.227500000001,1,High-Value Customers,Cyprus,1622,214,4,923.3068750000002
12360.0,52,3,2662.06,0,Regular Customers,Austria,1165,105,3,887.3533333333334
12361.0,287,1,189.9,2,At-Risk Customers,Belgium,91,10,1,189.9
12362.0,3,10,3693.227500000001,1,High-Value Customers,Belgium,2229,201,10,369.3227500000001
12363.0,110,2,552.0,0,Regular Customers,Unspecified,408,23,2,276.0
12364.0,8,4,1313.1,0,Regular Customers,Belgium,1506,70,4,328.275
12365.0,291,2,641.38,2,At-Risk Customers,Cyprus,174,22,2,320.69
12367.0,4,1,168.9,0,Regular Customers,Denmark,173,11,1,168.9
12370.0,51,4,3545.69,1,High-Value Customers,Cyprus,2353,143,4,886.4225
12371.0,45,2,1887.96,0,Regular Customers,Switzerland,591,63,2,943.98
12372.0,72,3,1298.04,0,Regular Customers,Denmark,794,34,3,432.68
12373.0,311,1,364.6,2,At-Risk Customers,Austria,197,14,1,364.6
12374.0,25,1,742.9300000000001,0,Regular Customers,Austria,342,33,1,742.9300000000001
12375.0,11,2,457.5,0,Regular Customers,Finland,178,14,2,228.75
12377.0,315,2,1628.12,2,At-Risk Customers,Switzerland,944,72,2,814.06
12378.0,130,1,3693.227500000001,1,High-Value Customers,Switzerland,2529,219,1,3693.227500000001
12379.0,82,2,852.24,0,Regular Customers,Belgium,407,39,2,426.12
12380.0,22,4,2724.81,1,High-Value Customers,Belgium,1127,77,4,681.2025
12381.0,5,5,1845.31,0,Regular Customers,Norway,808,70,5,369.062
12383.0,185,5,1850.56,2,At-Risk Customers,Belgium,1532,84,5,370.11199999999997
12384.0,29,2,585.27,0,Regular Customers,Switzerland,126,26,2,292.635
12386.0,328,2,401.9,2,At-Risk Customers,Australia,354,10,2,200.95
12388.0,16,6,2780.66,1,High-Value Customers,Australia,1462,57,6,463.4433333333333
12390.0,80,1,549.84,0,Regular Customers,Belgium,353,32,1,549.84
12391.0,22,1,460.89,0,Regular Customers,Cyprus,300,92,1,460.89
12393.0,72,4,1582.6000000000001,0,Regular Customers,Australia,816,47,4,395.65000000000003
12394.0,64,2,1272.48,0,Regular Customers,Belgium,819,26,2,636.24
12395.0,19,11,3018.63,1,High-Value Customers,Belgium,2118,91,12,251.5525
12397.0,36,2,2409.9,0,Regular Customers,Belgium,1263,110,2,1204.95
12398.0,46,1,1635.6599999999999,0,Regular Customers,Switzerland,1394,85,1,1635.6599999999999
12399.0,119,4,1108.65,0,Regular Customers,Belgium,1178,47,4,277.1625
12401.0,303,1,84.3,2,At-Risk Customers,Belgium,11,5,1,84.3
12402.0,323,1,225.6,2,At-Risk Customers,Belgium,94,11,1,225.6
12403.0,50,1,427.7,0,Regular Customers,Denmark,96,5,1,427.7
12405.0,149,1,1710.39,0,Regular Customers,Finland,857,54,1,1710.39
12406.0,22,2,3415.3,1,High-Value Customers,Denmark,1818,92,2,1707.65
12407.0,50,5,1708.1200000000001,0,Regular Customers,Belgium,1416,57,5,341.624
12408.0,33,5,2888.55,1,High-Value Customers,Belgium,1409,81,5,577.71
12409.0,79,3,3693.227500000001,1,High-Value Customers,Switzerland,5551,91,3,1231.0758333333335
12410.0,309,2,693.3299999999999,2,At-Risk Customers,Switzerland,211,26,2,346.66499999999996
12412.0,75,3,1226.88,0,Regular Customers,Denmark,829,43,3,408.96000000000004
12413.0,67,3,758.1,0,Regular Customers,France,286,29,3,252.70000000000002
12414.0,217,3,562.41,2,At-Risk Customers,Austria,300,16,3,187.47
12415.0,24,11,3693.227500000001,1,High-Value Customers,Australia,77374,444,21,175.86797619047624
12417.0,3,9,3649.1,1,High-Value Customers,Belgium,1552,158,9,405.4555555555555
12418.0,113,1,668.58,0,Regular Customers,Switzerland,407,34,1,668.58
12420.0,64,1,600.39,0,Regular Customers,Cyprus,345,29,1,600.39
12421.0,16,4,807.04,0,Regular Customers,Spain,484,32,4,201.76
12422.0,96,3,803.5600000000001,0,Regular Customers,Australia,370,39,3,267.85333333333335
12423.0,1,8,1859.31,1,High-Value Customers,Belgium,1339,97,8,232.41375
12424.0,163,2,1760.96,2,At-Risk Customers,Australia,740,30,2,880.48
12425.0,78,1,777.2,0,Regular Customers,Portugal,496,36,1,777.2
12426.0,195,1,582.73,2,At-Risk Customers,Germany,258,30,1,582.73
12427.0,22,3,825.8,0,Regular Customers,Germany,533,26,3,275.26666666666665
12428.0,26,9,3693.227500000001,1,High-Value Customers,Finland,3536,258,9,410.3586111111112
12429.0,9,4,3693.227500000001,1,High-Value Customers,Denmark,1557,82,4,923.3068750000002
12430.0,43,1,256.4,0,Regular Customers,Norway,117,11,1,256.4
12431.0,36,11,3693.227500000001,1,High-Value Customers,Australia,2906,163,15,246.21516666666673
12432.0,43,5,3693.227500000001,1,High-Value Customers,Norway,1801,107,5,738.6455000000002
12433.0,1,7,3693.227500000001,1,High-Value Customers,Norway,11071,219,7,527.6039285714287
12434.0,85,2,806.14,0,Regular Customers,Australia,394,46,2,403.07
